hak,rom,zh,en,unproofread
獼猴桃,mi2 heu2 tau2,獼猴桃,,
芒果,mong1 go3,芒果,,
菠蘿,bo1 lo2,菠蘿,,
榴槤,liu2 lien2,榴槤,,
牛油果,ngiu2 yiu2 go3,牛油果,,
藍莓,lam2 moi2,藍莓,,
草莓,cau3 moi2,草莓,,
楊梅,yong2 moi2,楊梅,,
無花果,vu2 fa1 go3,無花果,,
龍眼,lung2 ngan3,龍眼,,
木瓜,muk5 ga1,木瓜,,
哈密瓜,hap6 mit6 ga1,哈密瓜,,
擘仔,mak5 zai3,唐生菜,,
找轉,zau3 zon3,找回,,
恅過,lau1 go4,以爲,,
一隻花邊,yit5 zak5 fa1 bien1,一個銀元,,
街市,gai1 si1,菜市場,,
淨係,ciang4 he4,光是,,
鮮魚,sien1 ng2,鮮魚,,
唔慣,m1 gan4,不習慣,,
菜心,coi4 sim1,菜心,,
白菜,pak6 coi4,白菜,,
芥菜,gai4 coi4,芥菜,,
勺菜,sok5 coi4,勺菜,,
番薯,fan1 su2,番薯,,
芋頭,vu4 teu2,芋頭,,
地豆,ti4 teu4,地豆,,
沙葛,sa1 got5,沙葛,,
蕹菜,vung4 coi4,蕹菜,,
潺菜,can2 coi4,潺菜,,
唐蒿,tong2 gau1,唐蒿,,
角菜,gok5 coi4,角菜,,
番茄,fan1 kio2,番茄,,
金瓜,gim1 ga1,金瓜,,
豆角,teu4 gok5,豆角,,
草菇,cau3 gu1,草菇,,
油擘,yiu2 mak5,油擘,,
荷蘭豆,ho2 lan1 teu4,荷蘭豆,,
蒜苗,son4 miau2,蒜苗,,
淮山,fai2 san1,淮山,,
洋蔥,yong2 cung1,洋蔥,,
紅蘿蔔,fung2 lo2 pet6,紅蘿蔔,,
昝暋日,cam4 min1 ngit5,昨天,,
昝暋下晝,cam4 min1 ha1 ziu4,昨下午,,
昝暋朝,cam4 min1 zau1,昨天早上,,
打轉電話,da3 zon3 tien4 va4,回電,,
昝晚夜,cam4 man1 ya4,昨晚,,
跟尾,gen1 mui1,後來,,
下晝辰,ha1 ziu4 sin2,下午時分,,
食夜,sit6 ya4,吃晚飯,,
尋,cim2,找,,
嘛？,mia3?,嗎？,,
今朝辰,gim1 zau1 sin2,今早,,
亢身,hong4 sin1,起來,,
晨朝朝辰,sin2 zau1 zau1 sin2,明天早上,,
晨朝日,sin2 zau1 ngit5,明天,,
晨朝下晝,sin2 zau1 ha1 ziu4,明天下午,,
欣賞,hiun1 song3,欣賞,,
信箱,sin4 siong1,信箱,,
大小,tai4 siau3,大小,,
平均,pin2 giun1,平均,,
乾坤,kien2 kun1,乾坤,,
勤勞,kiun2 lau2,勤勞,,
忍耐,ngiun1 lai4,忍耐,,
牛角,ngiu2 gok5,牛角,,
牛腳,ngiu2 giok5,牛腳,,
許可,hi3 ko3,許可,,
玉石,ngiuk6 sak6,玉石,,
肉碎,ngiuk5 sui4,肉碎,,
體育,ti3 yuk5,體育,,
慾念,yuk6 ngiam4,慾念,,
鱷魚,ngok6 ng2,鱷魚,,
雁鵝,ngan4 ngo2,雁鵝,,
海岸,hoi3 ngan4,海岸,,
硬幣,ngang4 bi4,硬幣,,
大概,tai4 kai3,大概,,
内外,lui4 ngoi4,内外,,
災難,zai1 lan4,災難,,
打早,da3 zau3,一大早,,
行去,hang2 hi4,走去,,
在卡,coi1 ka1,在家,,
食晝,sit6 ziu4,吃午飯,,
六隻鐘頭,luk5 zak5 zung1 teu2,六個小時,,
斷暗,ton1 am4,黃昏,,
晨朝晚夜,sin2 zau1 man1 ya4,明晚,,
丈人佬,cong1 ngin1 lau3,岳父,,
行轉來,hang2 zon3 loi2,走回來,,
唔當,m dong4,不如,,
好…下子,hau3 ha4 zu3,相當...,,
後日,heu4 ngit5,後天,,
好滴,hau3 dit6,好些,,
唔曉停,m hiau3 tin2,不會停,,
後日朝辰,heu4 ngit5 zau1 sin2,後天早上,,
夜晚辰,ya4 man1 sin2,晚上,,
朝辰頭,zau1 sin2 teu2,早上,,
丈人婆,cong1 ngin1 po2,丈母娘,,
需要,si1 yau4,需要,,
雖然,sui1 yen2,雖然,,
區別,ki1 piet6,區別,,
虧待,kui1 toi4,虧待,,
律師,lut6 su1,律師,,
栗子,lit6 zu3,栗子,,
討論,tau3 lun4,討論,,
鄰居,lin2 gi1,鄰居,,
謙虛,kiam1 hi1,謙虛,,
隨便,sui2 pien4,隨便,,
姓徐,siang4 ci2,姓徐,,
坑渠,hang1 ki2,坑渠,,
拔萃,pat6 cui4,拔萃,,
延續,yen2 suk6,延續,,
秩序,zit5 si4,秩序,,
島嶼,dau3 si4,島嶼,,
花盆,fa1 pun2,花盆,,
地盤,ti4 pan2,地盤,,
晚夜,man1 ya4,晚夜,,
大碗,tai4 von3,大碗,,
鉢頭,bat5 teu2,鉢頭,,
鞋襪,hai2 mat5,鞋襪,,
塗抹,tu2 mat5,塗抹,,
喉連,heu2 lien2,喉嚨,,
流鼻膿,liu2 pi4 lung2,流鼻涕,,
凵,kem3,咳嗽,,
伸,cun1,伸,,
舌嫲,set6 ma2,舌頭,,
擘大啜,mak5 tai4 zot5,張開嘴巴,,
叮東仔,din1 dung1 zai3,扁桃腺,,
耳公,ngi3 gung1,耳朵,,
等厓,den3 ngai2,讓我,,
頭那,teu2 la1,頭那,,
鼻公,pi4 gung1,鼻公,,
眼眉,ngan3 mi2,眼眉,,
梅子罌,moi2 zu1 ang1,梅子罌,,
面缽,mien4 bat5,面缽,,
啜角,zot5 gok5,啜角,,
啜唇,zot5 sun2,啜唇,,
眼珠仔,ngan3 zu1 zai3,眼珠仔,,
下頷,ha1 ngam3,下頷,,
頸筋,giang3 gin1,頸筋,,
肩頭,gien1 teu2,肩頭,,
肋拆下,lak6 cak5 ha1,肋拆下,,
手臂,siu3 bi3,手臂,,
脈門,mak5 mun2,脈門,,
手盤,siu3 pan2,手盤,,
手指,siu3 zi3,手指,,
渾身,vun2 sin1,渾身,,
肚胈,du3 pat6,肚胈,,
肚臍,du3 ci2,肚臍,,
屎窟臀,si3 fut5 tun2,屎窟臀,,
大髀,tai4 bi3,大髀,,
屎窟,si3 fut5,屎窟,,
腳囊肚,giok5 lang2 du3,腳囊肚,,
腳眼仁,giok5 ngan3 yin2,腳眼仁,,
細嘅陣,se4 e4 cin4,小時候,,
冇鞋著,mau2 hai2 zok5,沒鞋穿,,
村肚,cun1 du3,村裏面,,
掌牛,zong3 ngiu2,看牛,,
好惡,hau3 ok5,好兇,,
搞,gau3,玩耍,,
取鳥仔,ci3 diau1 zai3,捉雛鳥,,
供(動物),giung1,餵(動物),,
養唔大,yong1 m1 tai4,夭折,,
河壢,ho2 lak5,小溪,,
熱天,ngiet6 tien1,夏天,,
滑哥,vat6 go1,鯰魚,,
洗身仔,se3 sin1 zai3,游泳,,
冷天,lang1 tien1,冬天,,
棯仔,lem3 zai3,桃金娘,,
米成,mi3 cang2,米通,,
深淺,cim1 cien3,深淺,,
暑假,cu3 ga3,暑假,,
校對,gau4 dui4,校對,,
教書,gau1 su1,教書,,
教授,gau4 siu4,教授,,
蠟像,lap6 siong4,蠟像,,
像樣,ciong4 yong4,像樣,,
雞籠,gai1 lung1,雞籠,,
燈籠,den1 lung2,燈籠,,
毛巾,mau2 gin1,毛巾,,
毛辮,mau1 bien1,毛辮,,
老人,lau3 ngin2,老人,,
好近,hau3 kiun1,好近,,
鹹淡,ham2 tam1,鹹淡,,
淡季,tam4 gui4,淡季,,
生意,sen1 li1,生意,,
生日,sang1 ngit5,生日,,
平價,piang2 ga4,平價,,
平時,pin2 si2,平時,,
早下,zau3 ha4,從前,,
廿四,ngip6 si4,二十四,,
入年架,ngip6 ngien2 ga4,進年關,,
年三十晚,ngien2 sam1 sip6 man1,除夕,,
碌仔葉,luk5 zai3 yap6,柚子,,
洗身,se3 sin1,洗澡,,
派利是,pai4 li4 si4,發紅包,,
矺年利是,zak5 ngien2 li4 si4,壓歲錢,,
過嗨年,go4 hoi1 ngien2,過年以後,,
順順溜溜,sun4 sun4 liu4 liu4,順順利利,,
打爆仗,da3 bau4 cong4,燒鞭炮,,
天光,tien1 gong1,天亮,,
講爛啜,gong3 lan4 zot5,說髒話,,
苦瓜,fu3 ga1,苦瓜,,
辛苦,sin1 ku3,辛苦,,
背後,boi4 heu1,背後,,
背書,poi4 su1,背書,,
霜降,song1 gong4,霜降,,
投降,teu2 hong2,投降,,
要求,yau1 kiu2,要求,,
著襪,zu4 mat5,著襪,,
著火,cok6 fo3,著火,,
長輩,zong3 bui4,長輩,,
長短,cong2 don3,長短,,
泡沫,pau1 mat6,泡沫,,
泡茶,pau4 ca2,泡茶,,
元氣,ngien2 hi4,元氣,,
澳元,au4 yien2,澳元,,
貼紙,diap5 zi3,貼紙,,
貼錢,tiap5 cien2,貼錢,,
應付,yin4 fu4,應付,,
輕鬆,kiang1 sung1,輕鬆,,
雙重,sung1 cung2,雙重,,
重傷,cung1 song1,重傷,,
保重,bau3 cung4,保重,,
開電火,hoi1 tien4 fo3,開電燈,,
食齋,sit6 zai1,食素,,
剃頭,tai4 teu2,理髮,,
還過,han2 go4,更加,,
食葷,sit6 fun1,食葷,,
劣屑,lot5 sot5,垃圾,,
正月半,zang1 ngiet6 ban4,元宵節,,
考試,kau3 si4,考試,,
試下,ci4 ha4,試下,,
開始,koi1 ci3,開始,,
開門,hoi1 mun2,開門,,
世界,si4 gai4,世界,,
前世,cien2 se4,前世,,
犯法,fam1 fap5,犯法,,
疑犯,ngi2 fam4,疑犯,,
窗門,cung1 mun2,窗門,,
手槍,siu3 ciong1,手槍,,
建築,gien4 zuk5,建築,,
健康,kien4 kong1,健康,,
米糠,mi3 hong1,米糠,,
線路,sien4 lu4,線路,,
改善,goi3 sen4,改善,,
射箭,sa4 zien4,射箭,,
戰爭,zien4 zang1,戰爭,,
客棧,hak5 can4,客棧,,
棧道,can4 tau4,棧道,,
交換,gau1 von4,交換,,
呼喚,fu1 fon4,呼喚,,
崇拜,cung2 bai4,崇拜,,
嘛,mia3,嗎？,,
比賽,bi3 soi4,比賽,,
伸手,cun1 siu3,伸手,,
時間,si2 gan4,,,
